year,title,excerpt,decade
1945,RECORD AT MINEOLA FAIR,Biggest Attendance First Two Days in 103-Year History,1940
1946,Veterans seize Scottsboro County machinery to start delayed werk EX-GI'S TAKE TRACTORS TO FIX RURAL ROADS,,1940
1946,Repub party decides not to break 4-party coalition Govt DE GASPERI KEEPS UNITY,Republican Party Decides Not to Leave Coalition,1940
1946,"FORT WORTH, Tex., May 19 (AP)--Golf's stretch-running bantam, Ben Hogan, closed with a dramatic five-under-par 65 to smash the course record, capture $3,000 first money and break Harry Todd's heart in the Colonial National invitation golf tournament today.   HOGAN'S 279 WINS FORT WORTH GOLF","Ben Finishes With Record 65 to Beat Todd by a Stroke-- Haas Third, Snead Fourth",1940
1940,Pocono Mts HIGHLAND FLING IS FIRST,Triumphs in a Jumping class at Pocono Horse Show,1940
1959,Mrss C,",Lo Bu.r evo Hxas' S on",1950
1956,"Vare, Daniele DANIELE VARE, 76, DIPLOMAT, IS DEAD","Italian Ex-Envoy to China, an Author, Wrote Best-Seller About His Experiences Was Warned About Career",1950
1953,New dirs Elected to Directorate Of McCall Corporation,,1950
1951,major groups compared THE WORLD,France at the Polls,1950
1955,Dr van Rooyen explains SOUTH AFRICA BACKS NEGRO PASSPORT BAN,,1950
1954,"Nagle, Isaac ISAAC NAGLI=",,1950
1951,"HACKENSACK, N.J., Aug. 31 Employes of the Bergen County Sheriff's office here began collecting a $2,000 fund today to paint the pre-Revolutionary Church-on-the-Green as an unusual  memorial to Sheriff Frank D. Livermore.   Bergen Sheriff's Aides Seek Fund To Paint Church as His Memorial",,1950
1959,"The four-story building at the northwest corner Broadway and Sixty-first Street, formerly occupied as general offices and an automobile showroom by the Studebaker - Packard Corporation, has been sold by John A. Dilliard.   BROADWAY SITE FIGURES IN DEAL",4-Story Building at 61st St. Is Sold by Dilliard -- Sale on 7th Avenue,1950
1953,V I Whitman sues W Disney Productions for patent infringement of composite photography system,"seeks $10 million Disney Sued for $10,000,000",1950
1955,Duplan Official Quits Posts,,1950
1950,"Amer Express Co: travelers checks theft, '49 Phila, linked to counterfeit check ring 7 MORE ARE SEIZED AS COUNTERFEITERS","Travelers Check Ring Not Yet Broken, It Appears--Body in Bay Studied in Case Two Viewed as Ringleaders The Sequence of Events",1950
1959,Dick Tiger to Box Calhoun,,1950
1955,"Low, (Mrs) Mary (Grandma)","por GRANDMA LOW, 82, CIVIC LEADER, DIES; Volunteer Services and Red Cross Aide in Chinatown Assisted Many Croups",1950
1957,Sports Today,,1950
1950,Baseball Men Pick Bellone,,1950
1951,engineer R W Briggs completes plans for 1st 3-mi sec in NYS from Westchester-Bronx line at Pelham to NY-Conn line at Port Chester,map; he describes design 'YANKEE' THRUWAY NEARS BEGINNING; ROUTES FOR SECTIONS OF THRUWAY,1950
1954,Yugoslavs to Build U. S. Ships,,1950
1950,BROOKLYN COLLEGE LOSES,"Oklahoma Team Stops Kingsmen in N.A.I.B. Play, 84-52",1950
1956,"Mich Elections Bur repts Repub vote for Cong topped Dem vote by 9,358 Michigan Vote Edge to G.O.P.",,1950
1957,Hotel in Rochester Sought,,1950
1954,"Two more books on Nazi Germany will be added to library shelves next month. Scheduled for June 14 by Viking Press is V-2,"" by Walter Dornberger. The author was a general in the German army and directed Peenebunde, the German experimental rocket station.   Books -- Authors",,1950
1959,rents in some projects to be raised 50-60 cents to cover cost of modification of conjunctional billing for elec PUBLIC PROJECTS TO INCREASE RENT,Monthly Rises of 50 and 60 Cents Here to Cover Cost of New Utility Billing,1950
1953,"Totten, Edyth EDYTH TOTTEN DIES","PLAY PRODUCER, 68; Founder in '26 of Old President Theatre Had Staged Many Works -- Wrote for Screen",1950
1959,The Proceedings In the U. N.,,1950
1951,The manner in which Western Europe affects the balance of economic power between East and West may be seen if a comparison is made between the actual production situation in 1950 and that which would have existed had the Soviet Union controlled Western Europe.   IF STALIN HAD WESTERN EUROPE ...,,1950
1955,Natl Racing Museum selection coms set 3 MUSEUM GROUPS SET,They Will Report on Historic Horses and Racing Figures,1950
1957,"interim census to determine per capita state aid will cost city $1,201,870 and employ 8,400 persons","W J Calise apptd coordinator CENSUS WILL COST THE CITY $1,201,870",1950
1953,"Brit bn fights Mau Mau, Nairobi NAIROBI IS UNNERVED BY NEW TERROR WAVE",,1950
1950,Gun-running and smuggling of strategic mdse out of US reptd on rise,attempt to ship ammunition and firearms to S Amer ports cited SMUGGLING ON RISE; GUN-RUNNING ALSO UP,1950
1950,"EAST ORANGE, N.J., April 15 --Members of the Essex County Chapter of the St. Elizabeth Alumnae Association will hold their annual luncheon and card party here next Saturday at the Hotel Suburban.   St. Elizabeth Alumnae to Meet",,1950
1957,"Perez, Bell Fight Tonight",,1950
1952,"Carmody, Cyril A CYRIL A. CARMODY",,1950
1957,"Franchot Tone has reached an ""amicable understanding"" with the producers of ""Hide and Seek"" to withdraw from the starring role in the play after next Saturday's performance in New Haven.   TONE WITHDRAWS FROM STAGE PLAY",Actor Leaving 'Hide and Seek' After March 30--Show Opens Here April 2,1950
1951,Topics of The Times,,1950
1956,Heads Kings Nurse District,,1950
1953,MISS WHITNEY AFFIANCEDI,4 I Smith College Senior to Be WedI to Austin Montgomery Jr. j,1950
1952,"A new book by Constance and Harmon Helmericks, authors of two volumes about life in Alaska, will be published by Little, Brown tomorrow. Entitled ""The Flight of the Arctic Tern,"" the book describes the authors' travels in their Cessna 140, the ""Arctic Tern"" of the title, over thousands of miles of uncharted Northland.   Books and Authors",,1950
1957,"Fifteen detectives were assigned yesterday to investigate the mugging of the Nepalese delegate to the United Nations in Central Park Tuesday night. Meanwhile, the State Department, the United States delegation to the United Nations, Mayor Wagner and others expressed regret over the incident. 15 Detectives Hunt Muggers of Envoy",U.S. Sends Regrets; DETECTIVES HUNT ENVOY'S MUGGERS Crime Data Cited,1950
1951,Dr. H.L. Jaffe to Be Honored,,1950
1956,GILT-EDGE ISSUES CLIMB IN LONDON,Prices Fall in Other Sections but Dollar Stocks Recover on Wall Street Reports,1950
1956,ed lauds Figueres and Somoza CENTRAL AMERICAN PACT,,1950
1957,US Customs Bur repts '58 quotas on Mex short-staple and Canadian waste filled Both Crop and Exports Off,COTTON SURPLUS EXPECTED TO DIP,1950
1952,"1 victim dies, 3 others critical SAILOR IN BUS CRASH DIE",3 Others Are Still on Critical List After Jersey Mishap,1950
1959,"1st youth conf on atomic energy held, Atlantic City, NJ, under auspices of 67 elec utility cos",Pres Eisenhower message 350 YOUTHS MEET TO DISCUSS ATOM; High School Students and 250 Teachers Open First National Conference,1950
1955,Annual rapt WELLINGTON FUND LIFTS ASSETS 42.9%,"Sale of Shares and Increase in Value of Holdings Raises Total to $400,700,000",1950
1956,"Douglas Aircraft repts Regional Renegotiation Bd asks $9-million profit for yr ending Nov 30 be ruled excessive, requiring approx $2.2-million rebate",denies excess PROFIT HELD EXCESSIVE; Renegotiators Recommend Douglas Aircraft Refund,1950
1958,Four new films are slated to arrive in local theatres this week. The programs follow:   Of Local Origin,,1950
1957,Revamping Plan Restated,,1950
1954,"A cricket match between the sexes, staged by the Staten Island Cricket Club was contested yesterday at Walker Park in Livingston. The Gentlemen of New York, batting left-handed, won by a margin of 21 runs from the Ladies of New York.   MEN DEFEAT WOMEN, BUT IS THAT CRICKET?",,1950
1957,Reorganized,Rev Quain dir; 10-yr assn of Press with D X McMillan Co ends NEW POLICY STARTS AT FORDHAM PRESS,1950
1959,"Directors of the Borden Company yesterday recommended a two-for-one split of the common stock, voted a year-end dividend of $1 and announced plans to raise the dairy company's quarterly dividend rate.   Borden Proposes 2-for-1 Split And Votes $1 Year-End Dividend",Increase in Quarterly Rate Is Planned -- Philip Morris Raises Payment -- Loblaw Slates 10-1 Distribution,1950
1951,"H L McCarthy, next Welfare Comr, suggests allowances for protection of children M'CARTHY SUGGESTS CHILD ALLOWANCES","On Eve of Taking Oath as City Welfare Head, He Notes Need to Help the Fatherless HILLIARD'S POLICIES KEPT Successor Will Continue War on Red 'Remnants' and Spur to Staff's Esprit de Corps His Practical Qualifications Specific Functions for Welfare",1950
1951,Quadruplets Born in Britain,,1950
1952,"Kimball, Tel Clarence TEL CLARENCE KIMBALL",,1950
1957,Philippine Bus Stalls,9 Die,1950
1958,Textile Fabrics Assn pres Wilner holds late '57 output cuts not enough to bar further price drops,"P J Flynn on need for minimum standards in wash-and-wear fabrics COTTON TEXTILES SEEN IN PRICE SAG; Cuts in Output Last Year Not Enough to Hold Up Market, Wilner Says",1950
1957,departs for London Attlee Leaves for London,,1950
1956,Venice Internatl: Amer Motion Picture Export Assn withdraws over festival organizers new power to veto entries U.S. FILM UNIT QUITS '56 VENICE FESTIVAL,,1950
1958,"Good orchestra seats are still available for Monday night's benefit performance of the American Ballet Theatre. The City Symphony Orchestra of New York is beneficiary of the performance, to be held at the Metropolitan Opera House.   Seats Available For Performance Of Ballet Monday",Benefit at Metropolitan to Further Work of City Symphony,1950
1957,CARE expands program in Gaza Strip CARE Expands Gaza Strip Aid,,1950
1951,"IT isn't legal for a man to sharpen his shooting eye on  birds these days and clay target practice sometimes isn't available, but a man who is serious about it can improve his aim for the fall without firing a shot.   Wood, Field and Stream",Simulated Firing With an Empty Gun Will Help Improve Aim for Fall Hunting,1950
1953,Favors Dodgers in world series Truman Sees Time for a Change,,1950
1954,US Steel exec Plowman sees need to reappraise rrs role in war emergency RAILS SAID TO LACK RESERVE FOR WAR,"U. S. Steel Official Cites Drop in Capacity, Urges Review of Transport Resources",1950
1955,Music School appts 2 to faculty Two Voice Teachers Appointed,,1950
1955,GRAIN TRADING IN CHICAGO,,1950
1959,FOOD STRINGENCY SEEN,Red China Expected to Go On Exporting to Red Bloc,1950
1958,"Emanuel Martin, 30-year-old bass-baritone who sang his first New York recital late yesterday afternoon at Carnegie Recital Hall, showed a rich voice with fine color at the bottom of his range, but lacked musicianly refinement in a program of standard works.   EMANUEL MARTIN HEARD",Baritone Makes Local Debut at Carnegie Recital Hall,1950
1956,Umpire W Grieve retires UMPIRE GRIEVE RETIRES,He Quits After 18 Years in American League,1950
1954,"The prices of coffee and cocoa futures tumbled yesterday on the New York exchanges, following more than two weeks' firmness. Potatoes, hides, rubber and copper also were easier","cottonseed oil, burlap, tin and lead moved higher, and sugar, zinc, soybean oil and wool closed mixed. COFFEE AND COCOA DECLINE SHARPLY; Hide and Potato Futures Also Go Lower -- Cottonseed Oil Up -- Sugar and Zinc Mixed COFFEE AND COCOA DECLINE SHARPLY",1950
1956,Publisher to Be Honored,,1950
1954,Apptd NYS 1st asst Atty Gen,career; por Named First Assistant To Javits in State Post,1950
1957,"PHILADELPHIA, Feb. 8 (AP)--Bruce Dern of the University of Pennsylvania has turned in his track suit rather than cut off his Elvis Presley-type sideburns.   Sideburns a la Presley Aren't Ivy",Dern of Penn Quits Track Rather Than Alter Appearance Explanation of Coach Father a Football Player,1950
1956,RENEE OSTROW'S TROTH,Student to Be Wed to Zelig B. Steckler of Air Force,1950
1954,Election,Mrs P H Raymer pres; por Elected to Presidency Of Junior League Here,1950
1954,New-type anti-submarine destroyer escorts under construction,designed to meet USSR submarine threat; most data secret CANADIANS BUILD SPEEDIER WARSHIP; New Destroyer Escort Panned as a Submarine 'Killer' in the Event of Conflict,1950
1950,"Baltzell, Robt C JUDGE R.C. BALTZELL DIES",Retired Federal Jurist in Indiana Served on Bench 25 Years,1950
1957,India signs 5-yr pact with Rumania for closer ties,plans accords with USSR and Egypt India and Rumania Sign Pact,1950
1957,"McEntegart to be installed, Bklyn M'ENTEGART TAKES POSSESSION OF SEE",,1950
1959,State Com Treas Chapman resigns STATE TREASURER OF G. O. P. RESIGNS,Chapman Cites Business Demands -- Second to Quit High Committee Post,1950
1959,NYSE vol 3.94 million U. S. GOLD STOCKS RISE 300 MILLION,World Fund Sells Bullion and Puts Dollar Yield Into Treasury Bills PAYMENTS GAP STEADY Sum Paid Out in Acquiring Reserves Matches Inflow in Security Dealings,1950
1959,"MP L Pearson, other party leaders score Diefenbaker failure to name successor DIEFENBAKER FOES CHARGE NEGLECT",Opposition and Press Blame Him for Delay in Filling External Affairs Post,1950
1959,"Fiorello!, by J Weidman, J Bock and S Harnick: T Bosley to create title role of F H LaGuardia",to be aided by Mrs LaGuardia; both illus NEWCOMER TO ACT LA GUARDIA ROLE; Tom Bosley Signed for Lead in Musical 'Fiorello!' -- Van Druten Comedy Eyed,1950
1953,SERIES UMPIRES NAMED,Grieve Will Be Behind Plate for Opening Game Wednesday,1950
1955,"Comr O'Connor asks $187,053,886 for 6-yr rehabilitation program, Marine and Aviation Dept capital budget request","plans include 10 new Hudson River piers and terminals, new East River and Bklyn piers, 3-stage terminal adjacent to S Ferry slips; stresses need for long-range program PIER IMPROVEMENT, ON PAPER",1950
1954,"ALBANY, June 29 -- The plan of the Temporary State Commission on the Courts for judicial reorganization ran into strong opposition from local Supreme Court justices today.   STATE COURT PLAN SCORED BY JURISTS",Albany Group Hears Justices of 3d and 4th Districts See No Need for Change,1950
1958,$269-million budget voted,Cabinet reorgn awaited THAILAND BUDGET VOTED; Assembly-Backs 269 Million -Cabinet Changes Expected,1950
1954,Son to Mrs. Louis B. Bolton,,1950
1952,says UN plans more slaughters NAM IL 'THREATENS' MORE CAMP RIOTING,Top Red Truce Delegate Says U.N. Can Expect New Captive Trouble in South Korea SEES 'SLAUGHTER' INTENT General Harrison for the Allies Again Urges Foe to Bring In an Armistice Proposal,1950
1959,"Thompson, Gale","will Chicagoan Leaves $10,050,000",1950
1955,Quinn backers charge Dem exec com with illegal spending for O'Connor,O'Connor hdqrs denial; Sen Mackall backs O'Connor; Quinn hdqrs complains to Atty Gen Javits about ALP handbills attacking Quinn on handling prisoners and linking him to Sen McCarthy PRIMARY TEMPO RISING IN QUEENS; Quinn Men Charge Illegal Spending for O'Connor in District Attorney Race,1950
1951,Elastic Stop Nut Votes Dividend,,1950
1958,"A man went beserk in a Yorkville tenement yesterday, stabbing his daughter to death, killing a fellow tenant with a pistol and striking his wife with a hatchet.   CRAZED MAN KILLS 2 IN YORKVILLE HOUSE",,1950
1958,ed lauds Group Health Ins study Psychiatric Insurance,,1950
1951,DAIRY PRODUCTS,,1950
1957,Forham Law Review Elects,,1950
1952,Resigns as Rockefeller Foundation bd chmn John D. Rockefeller 3d Succeeds Dulles as Chairman of Foundation,Elected to Head Board of Fund Organization Established by His Grandfather in 1913,1950
1957,"In St. Thomas Protestant Episcopal Church yesterday afternoon, Miss Gay Glover was married to Richard Burdick Sheffield. The ceremony was performed by the Rev. Dr. Frederick M. Morris. He was assisted by the Rev. George Zabriskie.   GAY GLOVER WED TO R.B. SHEFFIELD",St. Thomas Church Setting for Marriage--Bride Is Escorted by Brother Aknin--Robbins,1950
1955,"Whitfield, Wm L WIuLIAM WHITFIELD, I COAST STEEL MAN, 651",,1950
1952,"ALBANY, Jan. 9 -- The 1952 Legislature met for the first time today with one vacancy in each house and four new faces in the Assembly.   4 'FRESHMEN' IN ASSEMBLY",' 52 Legislature Meets With One Vacancy in Each House,1950
1959,"Lord Bishop Bradfield sees photos harmful to Ch, s, PE NY Diocese conv DONEGAN WILL GET SECOND ASSISTANT",Another Suffragan Bishop to Be Elected -- Jazz Mass Put Under Attack,1950
1960,"Rumanian party chief Gheorghiu-Dej charges Yugoslavs with 'contemporary revisionism,' RUMANIAN SCORES U.S. ON 'COLD WAR'","Party Leader, Opening Reds' Congress, Sees Setback to Efforts for Peace",1960
1963,"Chambers, Henry L HENRY CHAMBERS OF N.Y. TELEPHONE",Mr. Teletype Dead at 77-- Was Marketer of Device,1960
1964,"Chmn Cosgrove elected pres and chief exec, L E Felton named chmn","3 dirs elected Green Giant Company Selects President and Chief Executive; Cosgrove, Former Chairman, Succeeds L. E. Felton, Who Is Named as Chairman",1960
1965,"Representative Adam Clayton Powell has ignored another legal effort to force him to open his financial records to see whether he can pay the remaining $34,000 he owes a Harlem widow for a defamation judgment.   BID FOR HIS RECORDS IGNORED BY POWELL",,1960
1968,W Moscow comment on how case reflects recurring city problem of contract-awarding process Topics: The Business of Doing Business With the City,,1960
1962,Executive Changes,,1960
1967,"WASHINGTON TOPS OREGON, 26 TO 0",Huskies Take 4th Straight as Sparlin Directs Attack,1960
1963,Miami Store Dynamited,,1960
1966,"Huguenot Memorial Ch, Pelham Manor, NY: ch sponsors integrated day camp for Negro children of Mt Morris Presbyterian Ch, NYC, financed by gifts honoring E Jenkel, airline hostess killed in Mar crash Memorial Gifts Help Integrated Camp",,1960
1964,"SYDNEY, Australia, Sunday, Dec. 20&#8212","Sir Robert Menzies will celebrate today his 70th birthday and simultaneously his 16th successive year as Prime Minister. His tenure as leader is a record for Australia. Menzies, 70 Today, in Firm Control in Australia",1960
1963,SIU pickets freighter Gordon C Leach (Upper Lakes Shipping) by air Seafarers Picket by Air Again,,1960
1963,Lord Lambton says he informed Conservative party authority some mos ago of rumors about Frofumo LABOR WILL SEEK PROFUMO INQUIRY,To Push Parliament Action on Security Aspects Issue Raised Previously Press Took Up Case Macmillan Role Assayed,1960
1966,Prof R P McKeon to commute each wk by plane from Chicago U to hold seminar as part of new MA program for students not seeking PhD,"program backed by Ford Foundation $300,000 grant Professor to Commute 2,000 Miles Each Week",1960
1966,"RHINEBECK, N.Y., Aug. 26 Governor Rockefeller spent another hot day today as the star attraction on the upstate county fair circuit.   GOVERNOR SPEAKS AT FAIRS UPSTATE",He Vigorously Defends State Sales Tax in 2 Counties,1960
1960,Laborites continue dispute over party leadership,"Gaitskell backed, 2-1, in new statements LABORITES CONTINUE BATTLE ON LEADER",1960
1964,resistance to Ben Bella in Kabylia discussed GOAL OF KABYLES IS STILL ‘LIBERTY’,Algerian Hill Folk Resist Ben Bella's Socialism,1960
1961,Dill named Repub candidate for County Exec,complete slate listed G.O.P. NAMES DILL FOR NASSAU CHIEF; Collector of Customs Here Will Resign Post to Run,1960
1964,"Govt replaces barbed wire border barrier with concrete wall through center of Modlareuth, Bavaria",illus Reds Build Wall Through Border Village in Bavaria,1960
1965,ends hunger strike G.I. Ends a Hunger Strike To Back Bid to Go to Vietnam,,1960
1963,"Silver, Saml E SAMUEL E. SILVER",,1960
1967,UAW leaders of 55 locals in Chicago area urge disaffiliation from AFL-CIO,ask vote by all Illinois members Chicago Auto Union Chiefs Urge Split With A.F.L.-C.I.O.,1960
1967,"Louisville, Columbia, St. John's and Boston College won their first-round games in the Eastern College Athletic Conference holiday basketball festival yesterday, and only St. John's had a tough time.   Columbia, Louisville, St. John's, Boston College Win in E.C.A.C. Tourney",It's the Stars That Bring Out Basketball Fans at Night for a Festival: Three of Them Demonstrate the Art of Pleasing a Crowd,1960
1960,"son of ship matron wins NMU grant Seafaring Mother's Son Wins a $10,000 Grant",,1960
1968,"Colorado College beat Carson-Newman College, 205 to 135, yesterday afternoon in the General Electric College Bowl and won $3,000.   COLORADO IS WINNER ON 'COLLEGE BOWL'",,1960
1962,W G Carr lr hails service as Asst State Sec for Educ and Cultural Affairs Letters to The Times,"Testing New Drugs Physicians Cite Mutilated Infants is Urging Safeguards 'Good Samaritan' Penalty Philip Coombs Praised Iranian Reforms Noted Land Distribution, Economic and Financial Progress Described Senator Tower's Fund Assailed ERNEST M. SELIGMANN. Brooklyn, May 11, 1962. WILLIAM. G. CARR, Executive Secretary, National Education Association.New York, May 11, 1962. A.M. SHAPURIAN, Press Councilor, Iranian Embassy. Washington, May 15, 1962. LESLIE EICHEL. Jackson Heights, May 15, 1962.",1960
1960,Comr O'Connor repts Chelsea piers to be modernized for US Lines as part of $200-million waterfront program Liner Gets Marine Day Salute,New Plan for Piers Announced,1960
1967,Prof Forkosch reply to Prof Schwartz Feb 14 lr notes fetus has legal rights in some states Letters to the Editor of The Times,,1960
1965,Ditman -- Feri,,1960
1962,"WASHINGTON, Oct. 4 (AP) --Senator Jacob K. Javits, Republican of New York, today protested the sending of three Senate investigators to Oxford, Miss., to look into last Sunday's riots.   JAVITS SCORES MOVE FOR INVESTIGATORS",,1960
1960,"$2,000,000 Deal Made For Building in Dallas",,1960
1961,"20 killed, 50 hurt when commuter train rams repair train, Hamburg",map 20 Killed in Hamburg Rail Crash,1960
1965,St Petersburg Beach GETTING THE JUMP ON FLORIDA'S WINTER SEASON,,1960
1965,The 1965 World Series between the Los Angeles Dodgers and Minnesota Twins received more television and radio exposure than any predecessor.   TV-RADIO COVERAGE OF SERIES A RECORD,,1960
1967,"PLAINFIELD, N.J., Sept. 30-- In St. Mary's Roman Catholic Church here today, Miss Cathleen M. Casey, daughter of Dr. and Mrs. Francis G. Casey Jr. of North Plainfield, was married to Capt. David J. O'Con- nell, U.S.A. He is a son of Mr. and Mrs. James A. O'Connell of Brooklyn. The Rev. Patrick J. Fleming performed the ceremony and celebrated the nuptial mass.   Cathleen M. Casey Is Wed to an Officer",,1960
1960,"Sale at Lawrence, L.I.",,1960
1963,"The New York Yankees, in an intriguing reversal of roles, lost with a minimum of effort and then won with a maximum of difficulty yesterday as they divided a double-header with the Baltimore Orioles before 39,432 at Yankee Stadium.   Yanks Bow, 7-2, Then Beat Orioles, 11-10, on Berra's Sacrifice Fly in 10th",MANTLE'S HOMER TIES SCORE IN 7TH Bomber Star Clicks in First Appearance Since June 5-- Terry Beaten in Opener Kubek Opens Winning Rally 2 Innings Last 75 Minutes Pepitone Belts 19th Homer,1960
1968,"Mrs. Carol Boyer Moore Wed To Peter Stone, a Musicologist",,1960
1969,"AU CHOCOLAT, a new shop at Bloomingdale's with its own street entrance, is scheduled to open in mid-December with wares representing The Netherlands, Switzerland, Italy, the United States and Belgium.   International Candy",,1960
1967,L M Smith elected pres,"succeeds S Fiance, who resigns Royal School Laboratories",1960
1966,Article 23 -- No Title,,1960
1967,C B McCoy elected vice chmn of exec com Post of Vice Chairman Is Filled by du Pont,,1960
1968,Ann Stockton Wed in Illinois,,1960
1964,"The appointment of Olof 0llen aS assistant passenger traffic manager for the Swedish American Line was announced yesterday by G. Hilmer Lundbeck, resident director here. Mr. 01len, who joined the line in 1957, will represent the line at the Trans&#8208",Atlantic Passenger Steamship Conference. Ship Aide in New Post,1960
1963,P.S.C. Delays Its Decision On Con Ed Rate Increase,,1960
1968,GARY PLAYER'S 201 LEADS BY 2 SHOTS,,1960
1964,Opposition among musicians to performances before racially segregated audiences in US South seen spreading,"hailed by NAACP; J Laredo, L Fleisher ask Columbia Artists Mgt not to book them to places barring Negroes Artists' Anger at Segregation of Southern Audiences Rising",1960
1961,"The new Board of Education, which officially took office at midnight last night, will be briefed Saturday on the problems it must deal with.   EDUCATION BOARD TO HEAR THEOBALD",He Briefs Panel Saturday on Problems It Faces,1960
1960,Chmn E Fitzgerald to retire Insurance Official Retiring,,1960
1963,"Ovey, Esmond SIR ESMOND OVEY, 83, A FORMER DIPLOMAT",,1960
1967,Admr Berman warns landlords to sign contract or face rent cuts,Assemblyman Posner and Sen Goldin to offer bill to return rent control adm to NYS if City Council approves settlement plan LANDLORDS TOLD TO SIGN CONTRACT OR FACE RENT CUT; Berman Warns That City Won't Hesitate to Restore Controls if Necessary SERVICES ARE RESUMED Lindsay Will Present Plan to the Council to Help Owners Meet Part of New Costs,1960
1967,Study Group leaders agree on tactics,to offer resolution at Dem caucus naming Madden chmn LIBERAL TO PRESS ATTACK ON POWELL; Udall Favors Perkins for House Committee Chair,1960
1963,"""Why, when we are situated in a Harlem slum, a place overrun with squalor,"" asked the Rev. David Johnson yesterday, ""do we insist on adding artistic objects to this church?""   Episcopalian Calls Art an Inspiration For Harlem Slums",,1960
1960,"Marsden, Phillips B PHILLIPS B. MARSDEN",,1960
1964,NASA weighs use of braking rockets and conventional clothing similar to those used in Voskhod flight U.S SPACE TRIPS MAY END ON LAND,Agency Is Weighing Plan to Emulate Soviet Feat,1960
1963,"$1,179 Payroll Stolen From 27th St. Executive",,1960
1962,Eintracht Slates World Tour,,1960
1967,ed on plan,queries wisdom of runoff proposal Direct Vote for President,1960
1962,HARVARD LIGHTWEIGHTS TAKE GOLDTHWAITE CUP,,1960
1963,"Public bond offerings in October were more than double the level of the corresponding 1962 month, according to a survey compiled yesterday by The New York Times. The total was almost twice as much as that in September.   BOND OFFERINGS DOUBLE '62 LEVEL","October's $1,620,200,000 Is the Most Since April",1960
1968,"LOS ANGELES, Dec. 8 -- The Chicago Bears, 12-point underdogs, demolished the Los Angeles Rams' National Football League title hopes today with a 17-16 upset victory before 66,368 spectators in Los Angeles Memorial Coliseum.   Bears Eliminate Rams, 17-16","; LOSS GIVES COLTS COASTAL HONORS Bears Tied With Vikings, Remain in Contention for Central Crown",1960
1967,Jo-Lynn Popper to Wed,,1960
1962,"Craig, Hugh HUGH CRAIG",,1960
1962,com chmn elected Advertising:A Thinking Man in Every Home,Ad Gains Salesmen Elect Accounts People,1960
1967,"Lockheed yd, Seattle, halts work on 13 USN ships, lays off 1,000 workers because of 3-mo IBEW-Pacific Coast Shipbldrs Assn strike TRANSPORT NEWS: AIR TRAFFIC RISE",Domestic Lines Report 20% Increase for January,1960
1962,"Amer Elec Power Service Corp uses helicopter to carry 345,000-volt transmission tower for power line construction, Canton, Ohio",illus Article 2 -- No Title,1960
1961,The Association of the Alumni of Columbia College will present the Alexander Hamilton Medal to eight Nobel Prize laureates at the association's annual dinner Tuesday.   ALUMNI OF COLUMBIA TO GIVE 8 MEDALS,,1960
1969,"THE veteran master Alex Kevitz of New York won his third straight victory in the Manhattan Chess Club championship, to lead the 14-man round robin. His victims, in order, were the young star M. Shahade, the talented professor Neil McKelvie and the New Jersey master Edgar McCormick.   Chess: Kevitz Sets Sights on Adding Another Club Title to Record",,1960
1963,Aqueduct Race Chart,"1963 by Triangle Publications, Inc. (The Morning Telegraph)",1960
1968,Hill Captures Lema Golf,,1960
1962,Dinner Menu For Tonight,,1960
1965,"opens conf, Lexington, Ky",special comm urges maintaining office of bishop in reunited chs; official observers of 16 other denominations attending conf BISHOPRIC BACKED BY MERGER PANEL; Findings of Special Study Heard at Church Parley,1960
1966,Pres Johnson congratulates astronauts by radiophone from Tex ranch after watching splashdown on TV PRESIDENT HAILS CREW'S COOLNESS,Talks to Gemini Astronauts From His Texas Ranch,1960
1964,One wonders whether administration officials at the highly praised University of California are in the vanguard of modern higher education. Their denial of free speech and assembly in political matters to the Berkeley students was the direct cause for the current mass student protests at that university. Letters to The Times,Berkeley Curb on Students,1960
1965,"N Amer Olympic speed champs, Oconomowoc, Wis SPEEDSKATING LEAD TAKEN BY WURSTER",,1960
1962,biog,pors Communism's Heretic; Milovan Djilas,1960
1962,"KINGS POINT, L.I., Dec. 1-- Judge and Mrs. Gilbert H. Meyer have annnounced the engagement of their daughter Miss Jane Mariyan Meyer, to James Cummings Bonbright Jr. son of Professor and Mrs. Bon bright of New York.   Jane M. Meyer, Ballerina Here, Will Be Married",Dancer at Music Hall Is Engaged to James C. Bonbright Jr.,1960
1962,Union Carbide Division Names Overseas Aide,,1960
1960,New name of Chance Vought Aircraft Inc Chance Vought Changes Name,,1960
1968,"Lindsay leaves airliner delayed by congestion at La Guardia Airport, commandeers police helicopter to fly him to Hartford, Conn, for speaking engagement Police Helicopter Helps Lindsay Shun Air Jam",,1960
1968,"Green Leafs Top Raiders in Junior Hockey, 5 to 3",,1960
1968,"Shah int, Sharmiran, on his leadership of soc and econ revolution","importance of land reform program noted Shah of Iran, in Power 25 Years, Is Proving to Be a Successful Revolutionary",1960
1969,The Proceedings In the U.N.,,1960
1968,Boys High and Taft Gain P.S.A.L. Court Semi-Final,,1960
1961,"$91,883,000 in contracts let for bldg 12-mi extension, Weston-Boston Bay State Awards Road Job",,1960
1963,Black and White For Town and Country,,1960
1969,"Lincoln Hospital Mental Health Service, a community project with clinics in and near the South Bronx hospital, was ordered closed last night following its seizure by more than 100 nonprofessional employes.   BRONX HEALTH UNITS SHUT AFTER REVOLT",,1960
