year,title,excerpt
1982,"AFTER having been given a bad name by Adam and Eve, the apple has made a steady upward climb to the top of the heap. As the No. 1 fruit in the country, this year's harvest will be some 204 million bushels, nearly a bushel for each of us. Of that number, 110 million will be sold fresh","the rest processed into a variety of products, including cider, juice and applesauce.

The Northeast is second to the Far West in production, with 74,658,000 bushels, nearly two-thirds of which are produced in New York. The state of Washington alone produces nearly as many apples as the Northeast. GARDENING;
SOME NEW VARIETIES OF APPLES"
2006,"Nortel Networks names IBM executive Dietmar Wendt as chief executive, effective May 1 (S) World Business Briefing | Americas: Canada: Nortel Names I.B.M. Executive to Global Post",
1946,Sold,illus IN NEW OWNERSHIP
1978,"WASHINGTON, March 13&#8212",The Ilnited States and West Germany announeel series of joint actions today to stabilise the value of the dollar and to demonstrate greater agreement on basic economic policy. PLAN IS ANNOUNCED BY U.S. AND GERMANY TO STABILIZE DOLLAR
1972,Sociological survey of Soviet working women shows that those with professional skills appear to make the best mothers and most efficient housewives,"finds that unskilled workers, in contrast, tend to use an excessive amt of time in household chores and are too exhausted to devote themselves to their children; working women are rule rather than exception in USSR, where they comprise 50% of labor force; study of 2,000 women in Moscow region was designed to assess interplay between career and family life; survey results contrast with widespread Western view that career women become so engrossed in professional life that they neglect home and children; suggest that careers and family life can be harmoniously combined by women with educ and occupational skills; historian Z Yankova gives rept on survey at recent internatl seminar on sociology of the family that met in Moscow under auspices of Soviet Sociological Assn WORKING MOTHERS STUDIED IN SOVIET"
2003,Grace Glueck reviews exhibit Manet and the American Civil War: The Battle of USS Kearsarge and CSS Alabama at Metropolitan Museum of Art,"photo (M) Sunk at Sea, and Captured on Canvas"
1933,Survey of prices PRICE SURVEY BRINGS OPPOSITION TO RISES,Wholesale Trend From 1929 on Some Products Is Held Even to Warrant Cuts.
1955,Israel scores failure to condemn Egypt ISRAELIS CHIDE U. N. FOR ACTION ON EGYPT,
1964,"Crown Hts and Prospect Hts, Bklyn, designated neighborhood improvement dists 2 AREAS DESIGNATED FOR IMPROVEMENTS",
1942,On the Carolina Coast,
2001,"Firefighter Lawrence Webb suffers fatal heart attack while fighting house fire in Newark, NJ (S) Metro Briefing | New Jersey: Newark: Firefighter Dies",
1947,Confs with Comr Bollaert BOLLAERT SEES BAO DAI,Indo-China Commissioner Talks With Annam's Ex-Emperor
1965,"IN 1857 Lieutenant Joseph C. Ives, Topographical Engineer, was commissioned to test the navigability of the mighty Colorado River north of Yuma and a wagon route linking it with the Mormon Road to Los Angeles. Ives's account of his mission by pre-fab steamboat and mule train, published in 1861, is here abbreviated for young readers.   STEAMBOAT UP THE COLORADO. Edited by Alexander L. Crosby. Illustrated. 112 pp. Boston: Little, Brown & Co. $4.50.",
1939,"The four-story flat on a plot 25 by 100 feet at 613 Westchester Avenue in the Bronx was sold by the Bowery Savings Bank to a client of the Eugene J. Busher Company, Inc., which negotiated the deal in cooperation with Peter Clancy. The purchaser will modernize the property.   BANK SELLS IN THE BRONX",Flat at 613 Westchester Ave. Passes to New Control
1970,Fanfani abandons efforts to form new center-left coalition,gives up after Christian Dem and Socialist parties rejected his demand that pol secs of all 4 coalition parties accept cabinet posts as guarantees of good conduct Fanfani Abandons His Effort To Form Center‐Left Coalition
2016,"A Florida man who espoused anti-Islamic views on social media was charged with setting a fire that damaged a mosque in Fort Pierce, Fla., the authorities said. Arrest Made in Arson at Mosque That Orlando Nightclub Gunman Attended",
2013,"The FedEx Cup playoffs have provided great theater, but the start of autumn brings back college football and the N.F.L., and the playoffs may not be delivering a new audience. The Season When Golf and Football Collide",
1974,"Dyckman, Richard P Richard P. Dyckman, 78, Ex‐Mayor of Plainfield, N.J.",
2010,"Elaine Stritch, Chita Rivera and Ben Vereen are among the stars scheduled to perform in a series presented by Hartford Stage. A Series With 3 Broadway Luminaries",
1937,Closes Toledo plant Automobile Plant Closes Today,
1953,Guatemalan Min Osegueda to visit other Central Amer Mins,move seen last attempt to prevent proposal for action against Communist infiltration at coming Central Amer Foreian Mins Conf GUATEMALAN PLANS TALKS; Foreign Chief Will Tour Other Central American States
1951,Church to Mark Anniversary,
1989,"LEAD: Elizabeth Vogel and John M. Schmidt were married yesterday at St. Vincent the Martyr Roman Catholic Church in Madison, N.J., by the Rev. James Reedy. Elizabeth Vogel Wed To John M. Schmidt",
1991,"Iraq's parading of captured pilots in front of television cameras, their faces bruised and their statements apparently made under coercion, and its threat to use them as human shields is reminiscent of the Iraqi treatment of Iranian prisoners during the Iran-Iraq war.    During the long border war, Iranian soldiers, including teen-agers, were routinely interviewed on Iraqi television, presented to foreign journalists and prodded into proclaiming the wisdom of Iraq's President, Saddam Hussein, and the inhumanity of the Iranian Government. The Iraqis also paraded the soldiers through the streets of Baghdad and retrained them as soldiers to fight Iran. WAR IN THE GULF: P.O.W.'s",Iraqi Use of Captured Airmen: Old Tactics
1933,I C C hearing on proposed merger of Reading and Pa R Rs in Southern N J READING HEARD BY I.C.C.,Merger of Southern Jersey Lines With the Pennsylvania Is Urged.
1951,US State Dept confirms getting Indian note,silent; Philippines to send group to San Francisco conf to seek support for amendments; Jap press repts on plan to sign US-Japan security pact at conf and on Jap representation plan U.S. HAS INDIA'S REPLY ON JAPANESE TREATY
1989,"LEAD: Namibia's independence is finally on the horizon after more than 100 years of bitter struggle. Tomorrow, United Nations peacekeeping forces, now on Namibia's soil, begin to guide the independence process. Our people, jubilant, appreciate that their presence marks the culmination of a long colonial era. In Namibia, Jubilation and Caution",
1938,"Feeling a bit jaded after their strenuous efforts in yesterday's tempestuous double-header, the Giants today were forced to beat a rather embarrassing retreat as the Pirates sent them tumbling to a 7-to-4 defeat in the series final.   Pirates Triumph Over the Giants and Regain Half-Game Lead in Pennant Race","COFFMAN POUNDED AS GIANTS LOSE, 7-4 Yields Four Pirate Runs in Seventh--Rizzo Homer Off Gumbert Nets Three SWIFT STOPS tATE RALLY New Yorkers Shell Blanton, Crossing Plate Thrice in Eighth Inning Noisy Crowd Hails Victors Scoreless Till Sixth Frick Fines Rizzo $25"
1985,"Bishop James W. Malone, the head of the American Roman Catholic delgation to an extraordinary Synod of Bishops that opens here Sunday, has raised the possible need for changes in key church policies in remarkably candid comments before a group of Catholic foundation heads.   Bishop Malone, president of the National Conference of Catholic Bishops, said there were extreme conditions that would warrant an end to mandatory celibacy for priests. He also suggested a means by which Catholics who disagree with the church's ban on artificial birth control might consider the rule an ''ideal'' rather than an immediate demand.   He also criticized Joseph Cardinal Ratzinger, the head of the Vatican Congregation for the Doctrine of the Faith, for being ''one of the obstacles'' to improving what Bishop Malone described as poor relations between bishops and theologians. ON EVE OF ROME SYNOD, A TOP U.S. BISHOP SEES POSSIBLE NEED FOR CHANGES",
2003,Drought of new drugs at GlaxoSmithKline discussed,"company has introduced just three new medicines since merger that formed it in 2000; top scientists who recently left company, including Dr Peter G Traber, say laboratory productivity is getting worse; blame merger, factor of key significance in industry that has rapidly consolidated, in part because of long drought at lab; chief executive Dr Jean-Pierre Garnier dismisses comments of former employees; holds company's drug pipeline is fine; graphs of new drugs, merger deals and market share; photos (M) Where Are All the New Drugs?"
1947,"Tibbitts, Frank J FRANK J. TIBBITTS",
1951,Survey on student earnings EDUCATION NOTES,Varied Activities on the Campus And in the Classroom KENYON--Washington Study CHILD GUIDANCE--Psychologists PENN. WOMEN--Examinations CORNELL--Course on India CONNECTICUT--Graduate Music DELAWARE--Human Relations WESLEYAN--Students Earn Money EDUCATION--In Brief
1931,"CHICAGO, Jan. 16.--Bearish conditions dominated the wheat market today and prices on the Board of Trade here dropped around 2 cents from Thursday's finish, with ...   ALL GRAINS DECLINE AS BUYING SLACKENS","Wheat, Which Lost 1 to 1 5/8c, and Corn, 3/8 to 5/8c Off, Feel Bearish Sentiment. ARGENTINE INFLUENCE SEEN --Oats Raily Toward Last, Some Deliveries Going Up 1/8c--Trading in Rye is Dull. Manitobas Bought by Europe. Corn Is Heavy in Undertone. Chicago. Minneapolis."
1921,"It was a large night in the life of Murph', the Lambs Club bootblack. Murph' had been scrubbed and manicured, attired in gaudy raiment, his hair oiled and combed back into a distinguished wave, and hurried forth into that gay life with which he was familiar only through the words caught ...   BOOTBLACK A BARON, SHINES ON ONE NIGHT",Lambs Club Members Disguise Shoe Polisher in Dress Suit and Take Him to See Leon Errol. HE ALMOST SNUBBED ACTOR But Errol Recognized Murph' and Impostor Was Overcome by Emotion at Dinner That Followed.
1923,Pres Ely says Federation of Tenants' Assns will send reprs to Albany to watch Legis and to oppose real estate lobby,removal of Comr Mann will be sought TENANTS TO MOUNT GUARD AT ALBANY; President Ely Says the Federa- tion Will Watch Rent Legislation.
1944,"mass for liberation, Holy Cross Acad, NYC Mass for Liberation of Holland",
1955,"NYCTA asks City Planning Comm for $353,689,776, '56 capital budget","gen mgr Bingham explains all but $150,000 would be outside city debt limit; says $18.4 million is for pending projects JACK WOULD RAZE SUBWAYS' KIOSKS; Favors Removal of 100 Old Structures Before 1958-- Seeks '56 Planning Fund $2,620,532 TOTAL ASKED Bingham Says Requested Allocation Is Exempt From Debt Limit in Large Part"
1957,7-day embargo set,price rise seen FLORIDA EMBARGO RAISES FRUIT PRICE
1921,Obituary 3 -- No Title,
1959,French Line Aides Promoted,
1966,"Internatl Team Trials, Pittsburgh Bridge:",International Team Trials Begin Today in Pittsburgh
1955,"MORGANTOWN, W. Va., Oct. 22 -- West Virginia passed its stiffest football test of the season today as it rallied to beat Penn State, 21 -- 7.   West Virginia Rallies to Check Penn State With Three Second-Half Scores",MOSS SHOWS WAY FOR 21-7 TRIUMPH
1963,Brentwood Stock Offering,
1994,"Two churches in central Harlem were designated landmarks last week.    The First Corinthian Baptist Church, at Adam Clayton Powell Jr. Boulevard and 116th Street, was once the luxurious Regent Theater. It was finished in 1913, at the time when the film industry was making the transition from nickelodeons. Its terra cotta facade, modeled after the Doge's Palace in Venice, was designed by Thomas W. Lamb, who went on to specialize in lavish movie theaters across the United States. It became a church 30 years ago. 2 Churches Named Landmarks",
1957,Walworth Names Three,
1942,Jersey Food Prices Up Slightly,
2012,The Transportation Department said this week it would award $17.5 million in grants to states that outlaw texting while driving. Wheelies: The Carrot-and-Stick Edition,
1926,"State Repubs to ask removal of J H Lee, Prohibition Administrator, as incompetent, and reprimand for M O Dunning, coordinator for So Atlantic States on ground of naming relatives to dry enforcement posts SEEK TO OUST DRY CHIEFS.",Florida Republicans Will Demand Removal of Lee and Dunning.
1951,Jegge--Kruk,
1928,Hoover forces win 11 delegates in contests before Natl Com HOOVER FORCES WIN ELEVEN DELEGATES AS CONTESTS OPEN,National Committee Votes by Decided Majorities Against Bean's Nine From Florida. AN UPSET FOR THAT STATE Hilles Supports His Fellow Committeeman in Opposition to Hoover Group. TWO MORE FROM KENTUCKY Secretary's Total Put at 422--Pennsylvania Fails to Show ItsHand.
1927,Composer to Marry Writer.,
1975,NEW YORK (AP) &#8212,Money rates for Tuesday. Money
1991,"Current fashion comes out of a roiling, boiling caldron, a catchall of disparate elements. A number of ""C"" words go into conjuring up the soup of style. First off, it's handy to have a sprinkle of Chanelisms to toss in for flavor. (Outright copies come in handy, too.) For fall, a seasoning of vintage Courreges spices things up considerably as well. True creativity is great, but most good ideas have a cachet of times past. It takes courage to make a conversation piece, but sometimes it is what gives a designer's collection charisma. Comfort may sound colorless, but often it is what clinches the sale of clothes to a satisfied customer. (Let there be more of her!) Fortunately, there were only a few catastrophes this season, with every designer aiming for a chic statement. Some achieved it. So let's count the successes and call them out loud and clear. THE HIGH C's OF STYLE",
2013,You have a few ways to bring your phone numbers with you when moving from an Android smartphone to a new Windows Phone 8 handset. Q&A: Moving Contacts to a New Phone,
1992,"When USAir flight 405 skidded into the water at La Guardia Airport last night, the effects were quickly felt seven miles to the southeast, at Kennedy International Airport.   With hundreds of rescue workers fanned out across La Guardia's runways, some arriving flights were immediately diverted to Kennedy. Quickly, the Effects Are Felt at Kennedy",
1966,Greece prepares for launching of 9 Eur Space Research Orgn rockets from Euboea Is during May 20 eclipse,US experts to make observations from Greece GREECE IS PREPARING FOR ECLIPSE PROBES
1946,Extension of cooperative engineering advisory services expected to ease motorists problems,bd functions cited TECHNIQUE OF WAR TO BENEFIT AUTOS; Extension of Advisory Group to base Workaday Problems of the Average Motorist
2017,"This Comedy Central show, in which a professional life-reviewer hosts a show-within-a-show, is in its third and final season. ‘Review,’ a Workaholic’s Slapstick Tragedy Nears Its End",
1923,gives slang of the screen Jargon of The Studio,
1942,WHITE SOX TRIP SENATORS,"Humphries Victor on Mound, 7-2, in Game Under Lights"
1975,"Dwight-Englewood School (NJ), in effort to raise money, will make 5 new all-weather tennis cts, now being constructed on campus, available to families who donate minimum of $300 to Dwight-Englewood Development Fund",school's development office head Dr Roger Cooley comments (M) School Is Using Tennis to Raise Funds
1961,General Electric and Westinghouse announced yesterday that they would defend the suits against them.   2 Companies Defend Prices,
1966,"The New York Flea Market will reopen for the fall season Sept. 11, when it will commemorate the first United States performance of Jenny Lind, at the Castle Garden Theater in 1850.   Flea Market to Reopen With a Jenny Lind Day",
1930,Feature article by R Owen on clerical workers in bread lines,illus THE ARMY OF THE UNEMPLOYED HAS DRAWN STRANGE RECRUITS; APPLES BECOME A SYMBOL OF UNEMPLOYMENT.
1930,Reviews of Recorded Music RECORDED MUSIC,A Schubert Sonata for the Arpeggione--The Flonzaleys in a Brahms Quartet
2008,Scientists have discovered a previously unknown virus and strongly linked it with the most aggressive form of skin cancer. Virus Is Linked to a Powerful Skin Cancer,
1935,Spreckels Trophy,S Dollar to be only Amer entrant DOLLAR TO RACE ABROAD.; Will Be Only U.S. Entrant in Motor Boat Regatta in Paris.
1951,"With the smallest crowd of the season trying to peer at the proceedings through the downpour, William Ewing's Auditing carried the high weight to victory in the Gramercy Park Handcap at Belmont Park yesterday. Rigged at 120 pounds with Nick Wall in the saddle, Auditing registered a onelength victory over Easy Whirl of the Hampton Stable in the mile event.   Co-Favored Auditing Takes Gramercy Park","Belmont Double Returns $1,107.60; A HIGH-FLYING WINNER CROSSES LINE IN THE RAIN"
1965,GaynerTulin,
1980,"On the day after receiving 10 stitches in his mouth, Muhammad Ali decided yesterday that he could still return to the ring in June but against Scott LeDoux, not against John Tate.   LeDoux Now Seen as Ali Opponent",Only a Small Scar
1960,Article 19 -- No Title,
1978,"J Ray McDermott pleads guilty to charge of defrauding Tenneco Oil of hundreds of thousands of dollars from '71 to '74 through kickback scheme involving $506,000 in bribes paid to Schacht V McCollum, a Tenneco vp, to obtain cost-plus contracts for work in Gulf of Mex","Judge Morey Sears orders McDermott to forfeit $897,000 in extra profits that McDermott is estimated to have earned as result of those contracts; imposes additional fine of $103,000 (S) M'DERMOTT PLEADS GUILTY TO FRAUD, FINED $1 MILLION"
1954,A Goodman urges promotion of US styles,"decries designers follow-the-leader policy; other recommendations, Fashion Group Bergdorf Asks Stress on U. S. Fashions; Tells Stylists to Stop 'Following Leader'"
1986,"The newest star of the Junkyard Dogs defense - indeed, Georgia's No. 1 threat to opposing quarterbacks - is a Frenchman who grew up in the resort town of Biarritz. Maybe few people in Biarritz have ever heard of Herschel Walker, but nobody at all in Athens, Ga., had ever heard of Richard Tardits when the former member of France's national rugby team paid his own way across the Atlantic and went out for Bulldog football last autumn as a freshman walk-on.   After one season as a special-teams player, though, Tardits - who says he was attracted to the American game because of the ''VEE-o-lance'' - has become so dangerous a pass rusher that the other day Vince Dooley was led to announce a ''battlefield promotion,'' and in a manner that was unprecedented in Dooley's quarter-century as Georgia coach. The 6-foot-2-inch, 225-pound defensive end had already recorded four sacks and otherwise harassed Bulldog quarterbacks throughout a spring scrimmage at Sanford Stadium when Dooley suddenly halted the proceedings, strolled out onto the field and called the entire team together. ''Richard,'' he intoned, ''I'm not going to wait to give you a scholarship for next year. You have proved to me that you should get one now.'' Smashing Barriers",
1987,"LEAD: THE whispers had begun at least as far back as when he was in college, that the gym rat liked to have a few beers, and then a few more than that. Sports of The Times",The Gym Rat
1948,S Benjamin named Fresno mgr Benjamin to Pilot Fresno,
1955,Int,"illus Upbeat for a Song-Writing Duo; Ross and Adler, Broadway's hottest young composers, are rallying from the effects of fame -- bronchiectasis and prosperity-induced depression. Upbeat for a Song-Writing Duo"
1930,Controversy over N Lyon statue on Camp Jackson site stirs city,may be issue in next mayoralty campaign ST. LOUIS ALL UPSET OVER PARK STATUE; Memorial to General Nathaniel Lyon Rouses Bitter Dispute Among Art Critics. MAYOR OFFERS A SOLUTION Advises Those Who Regard Sculpture as Offensive to Look the Other Way as They Pass. Artists Were Aroused. Dispute Becomes Bitter.
1961,Warners to Film 'Formosa',
1975,"description of operations and personnel at NJ's Washington (DC) office, whose functions include channeling legis funding and grant programs to counties in NJ","office is headed by Marilyn Berry; other staff members are Larry Snowhite, Susan Adler and Fariborz Fatemi; Fatemi's job is to coordinate Gov Byrne's personal dealings with NJ Cong delegation, Dem Natl Com and Gov's Conf; in handling legis, staff provides state cabinet members and Gov with rundown of what is in legis hopper; analyzes each of thousands of bills to determine now they will affect both NJ at large and each Cong dist; increased effort by state office has led to steady improvement in amt of Fed money allocated to NJ; illus of Berry with Sen Harrison A Williams (L) State Office Plays Big Role in Capital"
1952,"M Seasongood, J A Simpson, C G Morris named vps Civil Service League Names 3",
1956,Obituary 6 -- No Title,
1978,"Dr. Robin Beth Winkler and Dr. James Halpern Doroshow, physicians, were married yesterday in the Fair Lawn (N. J.) Jewish Center by Rabbi Simon Glustrom. Dr. Robin Winkler Bride Of Dr. James Doroshow.",
1985,"Emerson Fittipaldi - guess which Ralph Waldo was his mother's favorite poet - was shrugging in the rain.   On the other side of the pits, the little cars for Sunday's preliminary race were kicking up rooster-tail plumes of spray yesterday morning. More rain is possible tomorrow, and it can't hurt Fittipaldi's chances in the $640,000 Meadowlands Grand Prix for Indianapolis-type cars.   If auto racing, like horse racing, awarded mud marks for those who performed well on off tracks, the former two-time world driving champion would have one next to his improbable name (his father's name is Wilson, after the President, and Emerson's mother wanted a similar sounding name for her son).   FITTIPALDI STILL ROLLING ALONG",
1941,postcard from Ecuador has German censor stamp Postcard From Ecuador Bears Nazi Censor Stamp,
2002,Turkish Foreign Minister says that Turkey will not extend its term as commander of security force in Afghanistan,NATO diplomats say that Germany had expressed interest in possibly taking over joint command of force in December (S) Turkey to End Its Afghan Stint
1949,shows new power saw BUSINESS WORLD,
1977,"Paul D Dennis Jr article on efforts of LI communities to prevent poor minorities from using beaches, which arc, for most part, accessible only through private beach and yacht clubs (M) A Coast Off Limits to the Poor",
1963,Executive Changes,
2015,"Jan Benzel, a Metro editor, describes this year’s summer series, which she will be assigning and editing. The focus? Summer romance. Summer Lovin’ Takes New York",
1947,Marcantonio Asks 3d Party,
1989,"LEAD:         *3*** COMPANY REPORTS **    *3* Cineplex Odeon (NYSE)       Qtr to Sept 30   1989   1988                     Revenue   187,131,000   223,625,000              Net loss   7,192,000   b14,684,000              Share earns   -   .31              9mo rev   476,964,000   511,145,000              Net loss   35,219,000   b29,807,000              Share earns   -   .63             Cineplex Odeon reports earnings for Qtr to Sept 30",
1954,Got $10 for Story,
1973,NYSE chmn Needham appeals for $300-million increased in fixed comm rates on July 16 at opening of SEC hearing on proposal,"estimates members' losses in first 1/2 of '73 will total $192-million; emphasizes exch's appeal is based entirely on need to offset 18% inflation in costs since Apr '70; SEC staff members J E Evans and L Pickard question Needham's figures on profits; Pickard observes that exch has offered no evidence to show member cos have introduced more efficient methods to reduce impact of inflationary pressures; exch economist W Freund projects June losses at $40-million on basis of available price and vol data; compares monthly profitability figures in '73 with total revenues of $6.2-billion for '72 to show that this yr's revenues are down $124-million on monthly basis; repts indus has cut over-all expenses by $52-million on annual basis, compared with calendar '72, in effort to make back-office operations more efficient; NYSE proposal for 10% increased in rates on all orders from $100 to $5,000 and 15% increase on all orders exceeding $5,000 up to $300,000 noted; ASE counter-proposal for unchanged rate on orders between $100 and $2,500 and 20% increase on orders between $20,000 and $300,000 revd; SEC Acting Chmn H F Owens, responding to earlier news agency rept, denies that exch has already decided to grant exch request DEFICIT FORECAST ON MEMBER FIRMS Needham, in Plea to S.E.C. for Rate Rise, Says Loss May Total $192‐Million"
1940,Newman Takes Skeet Title,
1921,"WASHINGTON, Oct. 20.--After an allday debate on the proposed foreign trade tax exemption clauses in the pending Tax bill, the Senate voted late this afternoon, 36 to 30, to strike from the bill Sections 4 and 5 of Part 1 of the income tax chapter. These sections define the terms ""foreign trader"" and ""foreign trade corporation.""   PAVES WAY TO TAX INCOME FROM ABROAD","Senate Strikes From Bill Clause Defining ""Foreign Traders"" and Corporations. VOTE FOR CHANGE 36 TO 30 Means Elimination Later of Provisions Exempting Incomes Gained in Foreign Trade."
1951,"Offsetting the increase in the previous week, loans to business by New York banks declined $21,000,000 in the week ended on Wednesday.   TRADE LOANS OFF $21,000,000 IN WEEK","Drop for City's Banks Offsets Gains in Previous Period, Reserve Report Shows"
1971,The new&#8208,"issue market, which posted sharp gains over the last two months, lost some of its punch this week but re mained on an even keel as underwriters stepped up their efforts to bring privately held companies public. New Issue Offers Stay on Even Keel In an Active Week"
2013,"The Islanders received shootout goals from Frans Nielsen and John Tavares to defeat the Rangers and gain their first victory at the Garden since Dec. 26, 2009. Starting in 2nd Period, Isles Change Luck at Garden",
2006,"The couple, both employees of the the cable news channel MSNBC, were married on Saturday evening at Cipriani 23rd Street in New York.  Alison Stewart and Bill Wolff",
1935,West Coast seamen on passenger and freight ships win pay rise and reduced working hrs,"applies to AFL unions 9,000 SEAMEN WIN RISE IN PAY ON WEST COAST; Arbitration Board's Award Applies to A.F. of L. Unions -- Tankers Not Affected."
2011,The documentary “Blank City” looks at iconoclastic downtown New York filmmakers in the late 1970s and early ’80s. That ’80s Moment When Nothing and (Almost) Everything Mattered,
1953,Greeks Merge 2 Major Banks,
1994,"About 10 minutes into the Living Theater's 30th-anniversary production of ""Mysteries and Smaller Pieces,"" at the Theater for the New City (155 First Avenue, East Village), the catcalls begin. ""Next!,"" shouts one man. Another yells: ""Go ahead! Move! I dare you!""   Are the voices coming from the audience or from members of the classically iconoclastic troupe? No matter. Tom Walker, the actor who has been standing immobile since the stage lights came up, doesn't stir. Yes, he blinks from time to time. But he remains as resonantly silent as a statue in a church, even when other actors swarm around him in a mock military drill. Remembering the 60's The Living Theater Way",
1929,PRIMROSE FOUR ON TOP.,"Beats Suneagles by 10 to 8, Balding Getting Four Goals."
1961,replies to producer Susskind protest 'POWER AND GLORY',Telecast of Greene Story Raises Issue Of Standards to Be Used by Critic
1934,Mex 1st to bar Chaco arms Mexico Is First to Bar Chaco Arms Shipments,
2011,"Food prices are expected to remain high this year, bringing them close to the crisis levels that provoked shortages and riots in poor countries three years ago. U.N. Data Notes Sharp Rise in World Food Prices",
2006,Research finds that microwave cooking does not destroy nutrients in food,drawing (M) REALLY?
1943,"Gers claim village, same area NAZIS BEATEN BACK IN KUBAN CLASHES",Russians Report Germans Fail With Heavy Losses in Strong Caucasus Counter-Blows BERLIN CLAIMS A VILLAGE Soviet Airmen Raid Junctions and Harry Supply Lines -- Donets Sectors Active
1933,"Mereck, J, killed on tracks of S I Rapid Transit R R Killed by Staten Island Train.",
1950,NEW POWERHOUSE WITH MODERN EQUIPMENT FOR CITY SUBWAY SYSTEM,
1960,"DARIEN, Conn., Sept. 22 -- A charge that anti-Catholic literature was being distributed in the Republican campaign here was made today.   Anti-Catholic Tracts Reported In Darien G.O.P. Headquarters",
2004,"Richard Kopperdahl recalls thrill of climbing to Statue of Liberty's crown years ago Miss Liberty, in a New World",
1948,"McGonigle, Cornelius P REV. C. P. M'GONIGLE",
2013,"Representative Scott Tipton, a Republican of Colorado, rode a Tea Party wave to Congress, but now faces the pressure of his district’s demographics. In Immigration Battle, Advocates for Overhaul Single Out Republicans",
2014,"Prognosticators are giving strong odds to Ava Duvernay’s civil rights film, but they still see few candidates for best actress. Week 1: ‘Selma Rises’ and Lack of Actress Contenders Rankles",
1962,Unit of Allied Chemical Elects Vice President,
1937,"Move for legis investigation of planting of dictographs in office of Gov Ammons and apt of F Dickerson, Dem leader INQUIRY IS PRESSED IN COLORADO SCANDAL",Planting of Dictographs in the Governor's Office Will Go Before the Legislature
1958,"reserves up $125 million to $3,039,000,000, May","graph on changes since '46 Britain's Gold, Dollar Reserves Rose $125,000,000 Last Month"
2008,To the Editor:. Rest in Peace,
1961,LOGART FIGHTS TONIGHT,Jorge Fernandez Will Seek Revenge in Garden Bout
1970,British Soccer Standings British Soccer Standings,
1937,"Fed Reserve Bank rept, June U. S. BUREAU PLACED 224,692 IN JUNE",Jobs Thus Provided in Private Industry Were 81.9% More Than Year Before
1953,UP LAMP POST 55 MINUTES,Lovelorn Seaman Coaxed Down From Perch by Priest
1955,"Wagner, Jno P (Honus) HONUS WAGNER DIES AT AGE OF 81","Shortstop, One of Baseball, Immortals, Made Mark With Pittsburgh Club MANY RECORDS STAND Played Most Games, 2,785, and Led League 8 Times-Lifetime Average of .328"
1955,latter fails to reach accord on sharing research SIDELIGHTS OF THE DAY IN FINANCIAL AND BUSINESS FIELDS,
1969,"Lamb, Karl Barre ARL B. LAMB, 78, OF GLASS STUDIOS",Head of Concern 43 Years Dies -Served in 2 Wars
2015,"A federal judge is expected to rule soon on whether the House can sue the executive branch for usurping its authority over spending. House Republicans, Seizing on Health Law, Challenge Executive Branch",
1936,"Hoover, challenging statement, demands apology Hoover Challenges Statement by Ickes That He Signed Unconstitutional Laws",
1941,Grade-crossing bonds sold STATE BONDS SOLD ON BID OF 101.1099,"City Bank Group Obtains $15,000,000 Grade Crossing Elimination Issue"
2006,A modest Colombian telenovela about a pitifully ugly woman trying to navigate the shallow waters of the fashion industry is remade for American audiences. ABC Brings ‘Ugly Betty’ to America,
1948,"WASHINGTON, May 11 (AP) -The Standard Oil Company of New Jersey today registered 1,265,255 shares of capital stock with the Securities and Exchange Commission. The shares are to be offered in exchange for outstanding common stock of the International Petroleum Company, Ltd., which operates in Peru and Venezuela and has a subsidiary operating in Colombia.   STOCK REGISTERED BY STANDARD OIL",New Jersey Company Lists With SEC Shares for Exchange Among Affiliates
1945,Sen R O Brewster urges Govt speed-up of sale by doing away with red tape WOULD SPEED SALE OF U.S. WAR PLANT,Senator Brewster Proposes 'Round-Table Auction' With All Agencies Represented MEAD IS SAID TO APPROV Project Calls for DPC Official to Preside--Steel Mills in West Are an Issue Representative of Attorney General WOULD SPEED SALE OF U.S. WAR PLANTS Two Groups Interested
1930,FIVE DIE IN MEXICAN WRECK.,Four Were Stealing a Ride on Derailed Freight Train.
1996,"Northeastern's unbeaten crew, ranked fourth in the weekly coaches' poll, defeated No. 3 Harvard by half a boat length today on the Charles River. The Husky eight, whose oarsmen average 6 feet 5 inches and 206 pounds, won their fourth race of the season to capture the Charles Smith Cup for only the third time in the 18-race series.         Also on the Charles, Wisconsin crews swept all three races in the Cochrane Cup regatta, defeating Dartmouth and Massachusetts Institute of Technology, while the Princeton lightweights won the Goldthwaite Cup from Harvard and Yale for the third straight year. The Badger varsity, ranked No. 9, beat the Green, No. 8, by 1.7 seconds and the No. 15 Engineers by 7.5 seconds.    ROWING",Northeastern Upsets Harvard
1937,"A sharper decline than anticipated on the basis of seasonal trend took place in lumber output last week, and the adjusted index eased to 65.7 from 72.4. The figure for the week ended Nov. 14, 1936, was 73.6. Shipments and orders also showed substantial losses from the previous week's totals, according to the reports wired especially to THE NEW YORK TIMES by the regional associations.   Lumber Output Drop More Than Seasonal",Week's Orders Were 31.9% Under Year Ago
1968,"N Korean radio says Pueblo crew submitted joint statement of apology saying they 'deserve any punishment,' admit 'grave crimes' but appeal for leniency WHOLE CREW SORRY, NORTH KOREA SAYS",
