year,decade,Combined_Text
1963,1960,Physician Will Marry Miss Reba Pilchman 
1968,1960,"Personnel Dir Hoberman, at budget hearing, asks for adequate funds and supplemental budget for personnel mgt program links current mgt problems to cheap personnel mgt policies of yrs past CITY FUNDS ASKED FOR JOB PLANNING; Failure to Meet Manpower Needs Cited by Official"
1963,1960,Roberta Zimman Triumphs In Collegiate Tennis Final 
1968,1960,"Reprs of New party from 29 states meet, Washington, to form natl com for party organizers seek new coalition of pol groups that could force restructuring of US pol Politics: New Party Leaders From 29 States Plan Organization and Strategy; GROUP IS HOPING FOR A COALITION Maps Ways to Raise Funds to Aid Neighborhoods"
1967,1960,"supermkt chain exec wanted as key witness in probe reptd missing 1 wk suspected smuggler of $10,000 worth of cigarettes a wk identified as A Granada who has arrest record CIGARETTE JURY SEEKING WITNESS; Store Executive in Queens Missing for a Week"
1966,1960,"Asian-African bloc pushes through UN Assembly resolution declaring Brit-Rhodesian talks peril rights of Rhodesia's Africans vote is 86-2 with 18 abstentions, including US, GB and France U.N. VOTE SCORES RHODESIAN TALKS; African-Asian Motion Says They Peril Blacks' Rights"
1965,1960,Educ Bd plans 296 summer prekindergarten classes for slum children to ask Fed antipoverty funds Schools Seek $1.36 Million For Summer Work in Slums
1963,1960,13 more arrested for demonstrating 13 Arrested in Chicago 
1960,1960,NO FACTS 
1961,1960,"ST. PETERSBURG, March 7 -- Ralph Houk, a manager who thinks the idea of ""ten-man baseball"" is rather silly, will become an innovator himself tomorrow when his Yankees engage in their first intrasquad game of the spring training campaign.   Yankees Will 4-Platoon Team For Intrasquad Contest Today "
1962,1960,MUSIC NOTES 
1960,1960,ROCCA HEADS MAT CARD Faces Rodgers Here Tonight -- Calhoun Also on Bill
1961,1960,"AMMI repts 980 ships in privately owned fleet, Oct 1 decline of 4 ships; 110 ships in lay-up MERCHANT FLEET SHOWS A DECLINE; September Drop of 4 Ships Is Noted by Institute"
1964,1960,US problem of trying not to violate treaty by aiding French tests discussed U.S. IN DILEMMA ON FRENCH TESTS Fears to Offend an Ally but Wants to Uphold Treaty
1961,1960,New York City Places Notes 
1965,1960,ends hunger strike G.I. Ends a Hunger Strike To Back Bid to Go to Vietnam 
1968,1960,"Johnson says he will name comm of past and present Cabinet members and White House Fellows to work on ways to improve office, s, White House Fellows reception Johnson to Create Committee on the Presidency "
1965,1960,"DETROIT, Jan. 8 (UPI) -Ward's Automotive Reports, trade publication, said today the 3 millionth 1965-model passenger car would roll off the assembly line sometime next week.   3 Millionth '65-Model Car To Be Made Next Week "
1963,1960,"THE Mona Lisa, which has had a perilous existence--including theft from the Louvre, exile during World War II and a recent sea voyage--is at last safely back at the Louvre. Or is it? In Leon Harris's ...   New Volumes for the Younger Reader's Bookshelf "
1968,1960,Tulane Coach Out for Season 
1967,1960,Big Apple Names President 
1967,1960,"Four players, led by eighthseeded George Ball of Roslyn, L.I., reached the third round of the Eastern 35 years-and-over tennis championship yesterday at the West Park Racquet Club here.   BALL AND ADELSBERG ADVANCE IN TENNIS "
1965,1960,"ST. LOUIS, July 6 (AP) -- Lou Brock made three hits, drove in one run and scored the other two as the St. Louis Cardinals beat the San Francisco Giants, 3-2, tonight for their seventh straight triumph.   Card Streak at 7 "
1960,1960,"Stevens Tech Wins, 80 -- 79 "
1966,1960,Reformist party nominates J Balaguer for Pres F A Lora running mate BALAGUER IS NAMED BY DOMINICAN PARTY
1963,1960,"opens new $1.75-million terminal, Bklyn, to accommodate over 300 freight cars from 7 trunk lines 400 city and transport officials attend dedication EXPANSION BEGUN BY DOCK RAILWAY; Brooklyn Ceremony Marks Interstate Freight Drive"
1967,1960,some 100 US Cong members who live in Montgomery County ignore its 1% income tax Congressmen Ignoring A Maryland County Tax 
1965,1960,"A zoning variance has been obtained by Met Foods Corporation, wholesale grocery distributor which clears the way for a larger-than-usual warehouse in an East Farmingdale, L.I., industrial park.   NEWS OF REALTY: FOOD WAREHOUSE Zoning Eased to Permit E. Farmingdale Structure"
1965,1960,""" Look at King?"" the fan exclaimed. ""Here we are with our backs to the wall and he's watching Gunsmoke.""   Videotape Replay: Football's New Brain-Picker College Teams Find Recorder Useful in Coaching Strategy"
1968,1960,"BLOOMINGTON, Ind., Dec. 16 (AP) -- Indiana's basketball team squandered a 15-point lead, then fought off Loyola of Chicago in the final minutes for an 88-83 victory tonight.   Indiana Withstands Rally And Downs Loyola, 88-83 "
1960,1960,suggestions on mailing returns HOW TO FORWARD TAXES EXPLAINED Separate Filings Required or Urged in Some Cases HOW TO FORWARD TAXES EXPLAINED
1964,1960,"CAMBRIDGE, Mass., June 20 &#8212 Miss Susan Ellen Jacobs and Richard Paul Kotz were married this afternoon in the Appleton Chapel of Harvard University. The Rev. Jack Mendelsohn performed the Unitarian ceremony. Richard Kotz Weds Susan Ellen Jacobs"
1968,1960,Eastern Life Lists Gains 
1960,1960,ICC rejects bids by Union Barge Line and A L Mechling Barge Lines to extend services to Fla Barge Line Extensions Barred 
1963,1960,Edith W. Devens And William Iler Will Be Married Aide of the Boston Fine Arts Museum Fiancee of Princeton Alumnus
1969,1960,"article on growing racial disputes involving nearly 1-million nonwhite Commonwealth immigrants 'immigrant problem' seen legacy of imperialism, colonialism and loss of empire; immigrants seen trailing far behind Amer Negroes in organizing to fight discrimination, though MP E Powell '68 anti-immigration s spurred formation of militant Black Peoples' Alliance; other groups include Campaign Against Racial Discrimination and Universal Colored People's Assn, formed after '67 visit by S Carmichael; roles of immigrant leaders A Ghose, Z K Choudhary, A Shervington, others discussed; discrimination in housing and employment revd; about 500,000 of immigrants come from Caribbean and are mostly Negro; E Indians number about 200,000, rest being admixtures of whites, Negroes, Indians and Chinese; illus Britain's Colored Immigrants: Woeful Legacy of Empire; Britain's Colored Immigrants: A Woeful Legacy of Empire"
1965,1960,"......... 'l 6 Are//tfefidiiii-sOf Claire Miller At Her Marriage Smith Alumna Is'Bride of John R. Proffitt'in Hobe Sound, 'Fla."
1968,1960,"SAN FRANCISCO, July 20 (AP) -- Willie Mays scored from first base on a fourth-inning single by Jim Hart today and the San Francisco Giants defeated the Houston Astros, 1-0, as Ray Sadecki hurled a two-hitter.   Giants Top Astros, 1-0, as Mays Scores From First Base on Hart's Single SADECKI PITCHES 2-HITTER, FANS 11"
1960,1960,"spring collections shown, Rome Rome: Pretty Clothes, but Inspiration Is Lacking So Far "
1965,1960,The Proceedings In the U.N. 
1966,1960,A major meeting this week confirmed the difficulty of getting farmers to work together. Competing crop interests and philosophies of the role of government in agriculture combined to sharpen the problem. SEVERAL ISSUES DIVIDE FARMERS Role of U.S. in Agriculture Is Major Source of Conflict
1965,1960,Shares traded on the American Stock Exchange closed generally steady in quiet trading yesterday.   Stocks Are Steady On American List Investors Waiting
1967,1960,Residents divided over whether to allow development of privately owned Flat Is and Woods Is into waterfront cottage community or to conserve natural environment illus; map Jersey Conservationists Fight for 2 Islets; Wildlife Threatened by Plans to Build 700 Cottages
1966,1960,"NYCTA recd $20-million from city, fiscal '65, for elec power costs '65 TRANSIT PAY EXCEEDED FARES Riders Paid $280-Million $5-Million Less Than Total Payroll Costs TRANSIT PAY TOPS FARES FIRST TIME"
1969,1960,"Fed ct, Camden, orders 8 county officials, including Superior Ct judge, to answer charges of racial discrimination concerning empanelment of jurors by use of voting rolls that illegally designate race of voter Jersey Aides Told to Reply To Charges of Jury Bias "
1962,1960,Ghanaian Anglican Ch head Bishop Roseveare scores Young Pioneers youth movement as 'Godless' cites indoctrination of idea that Nkrumah is immortal and a redeemer; foreign agents blamed for assassination attempt Anglican Church Head in Ghana Assails Nkrumah's Youth Corps
1965,1960,"VIENNA, March 24 -- Representatives of more than 20 nations will open a conference at the Hofburg Palace tomorrow to decide on a color television system for Europe. The principal contenders are the United States' system, which has Britain's support, and the French system, favored by the Soviet Union.   EUROPE IS THE PRIZE IN COLOR TV CONTEST "
1964,1960,"WASHINGTON, Feb. 4&#8212 United States officials denied today that Cuba had supplied Washington with sufficient information on her fishing plans to avoid incidents. Data on Plans Insufficient"
1964,1960,"LOS ANGELES, July 10 (AP) Juan Pizarro. with help from Hoyt Wilhelm, became the American League's second 12­game winner tonight as the Chi­cago White Sox defeated the Los Angeles Angels, 7‐4, inthe opener of a double‐header.  WHITE SOX SUBDUE ANGELS BY 7‐4, 6‐1 "
1968,1960,"KUOPIO, Finland, March 9 (UPI) -- John Bower of Middlebury, Vt., took the lead in nordic combined today when he finished 46th in the 15-kilometer cross-country event behind Finland's Eero Maentyranta, who upset three Olympic gold medal winners in taking the event.   BOWER SETS PACE IN FINLAND SKIING "
1966,1960,"HAVERFORD, Pa., Jan. 16 Sam Howe won the William F. White Memorial Cup squash racquets championship for the second successive year today by defeating his brother, Ralph, of Oyster Bay, L.I., 15-6, 12-l5, 18-15, 9-15, 18-16.   Sam Howe Defeats Brother For Squash Racquets Title "
1966,1960,"Inflight Motion Pictures opposes domestic lines bid for $2 fee for inflight movies backed by Justice Dept which urged CAB rejection on grounds it would curb competition to make service more pleasing to pub; denies movies are costly, rept to CAB AIR-MOVIE BATTLE: TO CHARGE OR NOT; 12 Carriers Want $2 Fee to Hear Film Sound"
1961,1960,"Starner, O H O.H. STARNER, 91, SHOE EXECUTIVE Ex-President of Carlisle (Pa.) Company Is Dead -- Held Footwear Patents"
1963,1960,Eastern Tennis Summaries MEN'S SINGLES
1962,1960,NEW YORK Y.C. CREW IN CUP SAILING LEAD 
1960,1960,Nasser appts 7 to Syrian Cabinet CABINET FOR SYRIA REVISED BY NASSER 
1962,1960,Trustee Appointment Due In Delay Bankruptcy Case 
1961,1960,Boston 
1964,1960,"GENEVA, Feb. 23&#8212 The Swiss stock markets have apparently rid themselves of most of the jitters they were given by the Government's anti&#8208;inflation program. Domestic issues advanced smartly last week in moderately active trading. Swiss Markets Spurt"
1961,1960,Pass Defense Stressed 
1963,1960,"35,000 Strike in Philippines "
1960,1960,Le Troq uer to appeal Le Troquer to Appeal 
1961,1960,parades and road-blocks hit 4 new areas FARM PROTEST SPREADS Parades and Roadblocks Hit 4 New Areas of France
1967,1960,'66 activities detailed Talent From Four Nations Aids Oil Project Skills Being Pooled to Assist Kuwait on Refinery Job
1969,1960,"B Hodgsen named ed of student pub Daily Herald, 1st girl to hold post Girl Is Editor at Brown "
1968,1960,Charts of Races at Aqueduct 
1960,1960,"UN com agrees to make no attempt to place conditions on independence Moroccan repr says Mauritanians had no chance to state views; queries France's motives; says 'many chiefs of state' back Morocco; protest set, Morocco U.N. BARS CURBS ON MAURITANIA; Political Committee Favors independence for Nation Without Conditions"
1964,1960,"she is sued by 1st Fed Savings & Loan Assn for defaulting on property loan Suit for $38,000 Is Filed Against Mrs. Stevenson "
1962,1960,3 from Alaska U reoccupy floating ice island research station T-3 (Fletcher's Is) ICE ISLAND USED AGAIN It Becomes a Laboratory for Research in Arctic
1960,1960,"2 forest fires, St Lawrence County, NY, under control Upstate Fires Checked "
1962,1960,Named NYC Rent and Rehabilitation Admr MRS. GABEL PICKED AS CITY RENT CHIEF Mayor's Aide to Head New Agency to Handle Controls and Rehabilitate Housing MRS. GABEL PICKED AS CITY RENT CHIEF Loans to Owners
1965,1960,IRS says losses in officially designated areas are tax-deductible Losses Are Deductible In Proclaimed Disaster 
1965,1960,"Lafer, Horacio HORAClOLAFER,65,1 BRAZILIAN LEADERP Former M'eiber of Cabinet]"
1962,1960,Lr backs science museum at NY World's Fair Letters to The Times 
1963,1960,NEW YORK. Prices on the New York  Stock Exchange yesterday closed pretty well mixed. After displaying an easier tendency.....   STOCKS END MIXED AS DEMAND EASES Efforts to Advance Prices Prove Difficult at Present High Level of Averages STEEL RATE A FACTOR Decline in Operations Leads to Caution--529 Issues Rise and 526 Decline Drop in Steel Rate Noted Reports Lack Luster STOCKS END MIXED AS DEMAND EASES Chemical Issues Strong
1968,1960,J W McGovern elected Regents Bd chancellor comments McGovern Elected Regents Chancellor
1964,1960,"FRANKLIN LAKES, N. J., Oct. 10&#8212 Art Scott and Jack Kachadurian scored twice each on long runs today as Ramapo Regional routed Pascack Hills of Montvale, 32&#8212;0, in the Northern Bergen Interscholastic League. Kachadurian's runs were for 22 and 43 yards and Scott raced 21 and 73 yards from scrimmage. Article 10 -- No Title"
1962,1960,"Clay com rev, rising opposition to and criticisms of aid program discussed FOREIGN AID: NEW LOOK AT EMBATTLED PROGRAM Blue Ribbon Panel Must Overcome Congress' Rising Opposition Scrutiny of Aid Sought The Other Funds Integrity Questioned Source of Funds"
1964,1960,"RULEVILLE, Miss., June 28 &#8212 The meeting began with a song. At first the people arriving were tense and uneasy but the songs relaxed them and it is a fact of the mass meetings, here that almost half the time is spent singing songs to give both the followers and their, leaders courage. Negroes Meet Nightly Despite Tension in Delta; Songs Give Them Courage in a Mississippi Charch as Voter Drive Continues"
1966,1960,"SLA bars NYS wholesalers from withholding any brands from stores without written SLA consent, in move to end retaliation against price-cutters Hostetter comments S.L.A. Ruling Aids Price-Cutting Stores; LIQUOR AUTHORITY BARS RETALIATION"
1968,1960,"BLOOMINGTON, Ind., Dec. 16 (AP) -- Indiana's basketball team squandered a 15-point lead, then fought off Loyola of Chicago in the final minutes for an 88-83 victory tonight.   Indiana Withstands Rally And Downs Loyola, 88-83 "
1969,1960,"Black Panther R Johnson, in int, Havana, says he was jailed for 21 days after hijacking Natl craft, Nov '68 FBI calls him one of more 'vicious' hijackers; repts he attacked both pilot and co-pilot Black Panther in Cuba Discontented"
1964,1960,The General Aniline and Film Corporation has leased four floors and exhibition space on the ground floor in the new 23story building at 140 West 51st Street. BIG SPACE TAKEN AT 140 W. 51ST ST. General Aniline Leases 4 Floors in New Building
1968,1960,"Mayor Lindsay names Theater Advisory Bd, with H Prince as chmn, to rev periodically gen theater problems names Theater Projects Com, financed by Ford Foundation $60,000 grant, to advise on bldg new theaters; some members listed 2 THEATER GROUPS NAMED BY LINDSAY"
1965,1960,Cardinal Spellman dedicates Vatican pavilion Father Mendel Garden of Heredity MENDEL GARDEN IS OPENED AT FAIR Vatican Pavilion Site Tries to Explain Genetic Laws
1964,1960,"Larionov, Michl Michael Larionov, Artist, Dead Started Rayonism' Movement"
1964,1960,"2 men held for carrying rifle, Nashville, on Johnson's motorcade route had bought weapon for hunting; released 2 Men, One With Rifle, Jailed Briefly in Nashville"
1963,1960,Text of 1863 editorial on dedication of Gettysburg Natl Cemetery Monument 
1965,1960,Guide to passenger accommodations on freighters pub TRANSPORT NEWS: GIBRALTAR DRIVE Crown Colony Urges Ships to Use It as Home Port
1962,1960,Conv Sidelights Flash Price List Is Augmented
1964,1960,"Scientists at Amer Biological Scientists Inst rept hormones may act as switches to turn genes on and off as they are needed in various parts of body HORMONE PUZZLE BEING UNRAVELED Chemicals Act as Switches, New Findings Indicate"
1961,1960,Dunn--Russell 
1964,1960,A deep&#8208 sea telephone cable between Guam and the Philippines was placed in service yesterday. It replaces radiotelephone circuits between the islands. Undersea Telephone Cable Put in Operation in Pacific
1962,1960,Communist influence among organized labor seen undiminished Gen Labor Confed victory in election of soc security system admr cited; party asst sec gen Rochet urges continued Communist-Socialist cooperation RED-LED UNIONS TOP FRENCH POLL; Finish First in Balloting for Social Security Aides Red Press Unity Drive
1962,1960,Miss Audrey Cohen Is Prospective Bride 
1965,1960,C F McNeil apptd dir Welfare Assembly Names Head 
1960,1960,"DOUBLE all the good things said about the Phoenix' ""Henry IV, Part 1,"" a few weeks ago. Familiarity with the chief characters and the story has given finish to the acting. Shakespearean Work Is Staged by Vaughan "
1962,1960,Visible Satellites 
1965,1960,$37.5-million stock offer heavily oversubscribed Lufthansa Sells Stock to Public $37 Million Is Oversubscribed
1968,1960,"Van Putten, Baritone, Sings At Carnegie Recital Hall "
1965,1960,on contrasts of poverty and affluence in Sicily development programs noted; map Poverty of Sicily Masked by Glitter; Prosperity on the Coast Masks Poverty of Sicily
1960,1960,Author's Query 
1961,1960,Justice party agrees to join coalition govt with Repub People's party TURKS FOR COALITION Justice Party to Join Inonu Regime Linked to West
1964,1960,Gold and cinnamon colored miniature trees on yellow tablecloths bloomed with velvet streamers in the Ballroom of the Astor last night. The occasion was the 12th annual Angels Ball of the New York Section of the National Council of Jewish Women. Jewish Council Ball Is Held at the Astor 
1963,1960,"M L C Bok Foundation gives $5,000 scholarship grant Maritime Scholarships "
1962,1960,James Gibbons to Wed Miss Elizabeth Sullivan 
1964,1960,Primary roundup CALIFORNIA VOTE UNLIKELY TO SWAY G.O.P. ON NOMINEE Rockefeller and Goldwater Said to Lag in Popularity as Primaries Near End; COMPROMISE IS SOUGHT; Polls Find That 40 Per Cent in Party Favor Johnson Over Either of Them
1963,1960,"The McDonnell Aircraft Corporation, which first won fame with jet fighters bearing such names as Banshee, Demon and Voodoo, serves as prime contractor for Project Mercury.   MANY COMPANIES HAD ROLE IN SHOT McDonnell Aircraft Holder of the Prime Contract"
1967,1960,Illus Politics Not Only Dodd Is Licking the Wounds
1968,1960,"WITH so much dismal and facile ""art work"" filling the pages of books for young readers, it is both a shock and a pleasure to encounter some reproductions of actual works of art, especially works of great quality. But in both titles under review, one's pleasure begins to fade slightly at the uneven quality of the plates.   WONDERS, WARRIORS, AND BEASTS ABOUNDING. By Beryl Barr. Foreword by Thomas P. F. Hoving. Illustrated. 128 pp. New York: Doubleday & Co. $6.95. MORE SHAPES AND STORIES. A Book About Pictures. By Geoffrey and Jane Grigson. Illustrated. 72 pp. New York: The Vanguard Press. $5.95. "
1962,1960,Perri Drives Speed Skiff To National Championship 
1962,1960,Editorial holds problem of pollution from coal mines and conflicting US agency programs to deal with issue show need for Dept of Natural Resources Mine Drainage Problem 
1961,1960,Seven Counterfeiters Seized 
1969,1960,"The city's political alignments have been torn apart by the mayoral primary election victories of State Senator John J. Marchi and Controller Mario A. Procaccino, according to leaders of the Republican and Democratic parties. LINDSAY IS PLANNING 'URBAN PARTY' MARCHI AND PROCACCINO VICTORIES SPUR LIBERAL EFFORTS TO REALIGN; CHANGE HERE SEEN"
1966,1960,USAF XB-70 research craft collects data for project XB-70 Collects Data 
1968,1960,"council urges Security Council use force to break S Africa's hold on S-W Africa, rept to Assembly sees threat of racial war unless S Africa surrenders control U.N. Group Calls for Use Of Force in Africa Dispute"
1966,1960,"Mr. and Mrs. Jack D. Newton are offering an extraordinary reward of $1,000 for the return of an ordinary small black poodle because, Mrs. Newton said yesterday, it was so much a member of the family that ""it's ruined my life losing him.""   $1,000 Reward Offered For Family's Pet Dog "
1963,1960,Thompson Ryan Weds Nanette Marie Kelley 
1969,1960,Miss Margot Winchester Is Bride 
1963,1960,American Exchange Seat Sold 
1963,1960,Article 16 -- No Title 
1962,1960,"Liberation Front repr Hussein recd by Brazilian Pres Goulart, Brasilia Goulart Receives Algerian "
1965,1960,Jane Hurwitz's Nuptials 
1961,1960,"Econ rev and forecast stabilization program hurt by tin slump BOLIVIA ATTACKS HER SLUMP IN TIN; Calls in Foreign Advisers as Nationalized Mines Lose $500,000 Each Month"
1964,1960,"survey of semifinalists indicates decline in number entering physical sciences, rise in number entering humanities and soc sciences NEWS NOTES: CLASSROOM AND CAMPUS "
1968,1960,Susan Sachs Married ] To Arthur Wedemeyer 
1961,1960,"CHICAGO, Oct. 22 (UPI) -- Bernie Geoffrion scored twice and led the Montreal Canadiens to a 3 -- 2 victory tonight in their first game of the National League season with the Chicago Black Hawks.   CANADIENS DEFEAT BLACK HAWKS, 3-2 Geoffrion Scores 2 Goals -- Mikita Also Gets Pair"
1960,1960,Police Dept expanded to 88 members pay scale raised BERGEN ADDS TO POLICE; 11 Patrolmen Taken On as Pay of Entire Force Is Raised
1966,1960,"Early last week, while stock, prices generally were reeling"" only a handful of issues managed to post new 1966 highs on the New York Stock Exchange.   Spotlight Holly Sugar Rises --Dividend Up"
1960,1960,"A one-story building at 503 McCarter Highway, corner of Tichenor Street in Newark, has been leased by the Baseil Machinery Company of Newark, manufacturer of tool and die-making machinery. The lease was arranged by the Archie Schwartz Company, brokers, for the owner, the U.S. Novelty Products Company, manufacturer of plastic vacuum-forming machinery.   NEWARK BUILDING FIGURES IN LEASE Machinery Company Takes McCarter Highway Unit -- Deals at Store Center"
1962,1960,"Bamberger's New Jersey has announced the appointment of Justin Bijur as a vice president. He is manager of the store's branch in Paramus, N.J.   Bamberger's Elevates Paramus Branch Chief "
1962,1960,Mayor Tate ousts 2 high-level St Dept employes on charge of taking gifts from persons doing business with city PHILADELPHIA REMOVES PAIR FOR GIFT-TAKING 
1961,1960,"Graves, (Mrs) Wm L MRS. WILLIAM L. GRAVES "
1967,1960,THERE is something about the steel industry that  has always attracted Wall Street's security analysts. The industry is vital to the United States economy and represents a substantial amount of invested capital.   Market Place: Differing Views Of Steel Issues
1968,1960,"4 cos pay record $94,190,009.38 for lease on La tidelands tract owned by US and La Oil Lease Brings Record "
1965,1960,"HEW Dept grants $436,144 to local, state and regional agencies for control programs Air Pollution Funds Allotted "
1969,1960,"Temp hits 106, Atlantic City 96 TEMPERATURE SETS HIGH FOR DAY Parks and Beaches Filled -- 106 Recorded in Jersey"
1964,1960,"Mrs. E. Freeman Adams of New York has announced the engagement of her daughter, Miss Beverly Elizabeth Adams of Syracuse, to John P. Fitzgibbons Jr., son of Mr. and Mrs. Fitzgibbons of Scarsdale, N. Y. A June wedding is planned. John P. Fitzgibbons Jr. To Wed Miss Adams "
1960,1960,"HOLLYWOOD, Calif., Oct. 27 -- In the less responsible days when Melvin Frank and Norman Panama did nothing but write for movies, they were able to make sport of their work. During one story conference in the backyard they whipped a baseball back and forth.   MOVIE TEAM DROPS FRIVOLOUS WAYS Production Pressures Force Melvin Frank and Norman Panama to Budget Time"
1964,1960,"Pagenstecher, Albrecht Jr, 90 Albrecht Pagenstecher Jr. Dies A Retired Paper Manufacturer"
1961,1960,HR approves bill to channel more than $1 billion into veterans direct home loans G.I. HOME LOANS BACKED House Votes a Billion More to Help Mortgage Seekers
1960,1960,"Pres Traffic Safety Com conf, NYC panel urges all states set up traffic ct systems using full-time salaried judges as way to cut accidents; other proposals SAFETY MEN URGE REFORM IN COURTS; Call for Full-Time Traffic Judges as a Way to Cut Number of Accidents"
1966,1960,"NEW HOPE Pa., Aug. 10  Miss Hope Wells and John Rathbone Reese plan to marry here on Dec. 27.   John Reese Fiance Of Miss Hope Wells "
1968,1960,"internal exposition, Chicago Printing Industry Sights Gains New Equipment Shown GAINS PREDICTED IN PRINTING FIELD"
1968,1960,"A series of two-day seminars on successful college recruiting will be held at the Summit Hotel here Sept. 19 and 20. The sponsor is the Center for Management Education, a division of Drake-Beam  Associates.   Hiring at College To Be Discussed "
1964,1960,"ATHENS, May 12 &#8212 The Greek Government acted today to keep tempers under control here and in Cyprus for fear of reprisals after yesterday's killings. A spokesman said that if the culprits were not caught by the end of the day Greece would apply to the chief of the United Nations force on Cyprus and demand the &#8220;prompt arrest and trial of the assassins before the Island's legitimate courts.&#8221; Article 2 -- No Title"
1969,1960,The Proceedings In the U.N. 
1962,1960,"A summit meeting of governing heads of twenty-one African states with a combined population of 135,000,000 is meeting in Lagos, Nigeria, to launch a drive for pan-African unification.   Pan-African Summit "
1965,1960,Argentine Pres Illia confs with Cabinet amid repts that Argentine mil leader ordered troop build-up on disputed Chilean border Illia Meets With Top Aides On Chilean Border Dispute 
1965,1960,"Vatican reptdly gets 700,000 petitions urging canonization Petitions Ask Canonization Of John XXIII and Plus XII "
1965,1960,Pres Nasser allocates $46 million in hard currency to buy wheat NASSER IS ASSUMING U.S. WILL HALT AID 
1968,1960,New Brit defense situation in Far East may lead to revival of plan to modernize aircraft carrier Ark Royal Asian Defense Talks Planned by Britain 5-NATION MEETING SET FOR MID-1968
1961,1960,"Strategic Studies Inst repts West has more forces than Communists, is equal in most key weapons, but notes world-wide dispersal of Western strength ALLIED FORCE HELD ABOVE COMMUNISTS' "
1960,1960,"GSTAAD, Switzerland, July 17 Neale Fraser of Australia and Maria Bueno of Brazil, the Wimbledon champions, head the entries from fourteen nations that will begin play here tomorrow in the Swiss tennis' championships.   Swiss to Allow Gimeno to Play Despite Reports He Is Now Pro "
1960,1960,"""IT'S been a peculiar season, said Alfonso Ramon Lopez, the Happy Hidalgo who manages the White Sox. ""It's been rough on the starting pitchers and it's given us an unusual number of long winning streaks and long losing streaks.""   How to Ignite Fireworks "
1967,1960,"Barili, R and C: white girls, 6 and 7, found slain and sexually molested in Watts, Los Angeles, lot 25 mi from Altadena home police see no racial links 2 SLAIN CHILDREN FOUND IN WATTS; Bodies of White Sisters in Lot 25 Miles From Home"
1962,1960,To get the most out of the current World Series a  baseball fan really needs two media: a television set for for the pictorial scene of the San Francisco Giants and New York Yankees at work and a radio set to hear George Kell and Joe Garagiola explain the fine points of the game.   Radio-TV: Ex-Players View Series Baseball Broadcasters Forsaking Cliches Fine Points Offered by Garagiola and Kell
1960,1960,Philadelphia 
1965,1960,"Changes in top mgt set, effective July: exec vp Goad named asst to pres, exec vp Goodman adm com chmn, vps Rollert and Knudsen group vps, dir Cole head of operations staff major changes in div mgt also noted G.M. Makes Top-Level Executive Changes; Edward Cole Heads Company's Staff for Operations"
1960,1960,"Sales of the eight major New York department stores and their metropolitan branches in April surged 19 per cent above those in the 1959 month, according to a survey yesterday by The New York Times.   STORE SALES HERE SURGED FOR APRIL Volume 19 Per Cent Above the Level for 1959 -- Later Easter Was Factor"
1969,1960,"Rev of Muse Jazz Workshop concert, Bedford Lincoln Neighborhood Museum THE JAZZ IS LOOSE IN BROOKLYN MUSE Two Barron Brothers Fill In Till Metcalf Trio Arrives"
1964,1960,"Staton, Adolphus ADOLPHUS STATON, RETIRED ADMIRAL Medal of Honor Winner for Veracruz Landing Dies"
1966,1960,"Housing and Urban Development Dept, in 1st use of Fed funds to test urban mass transit concept involving aircraft, announces plan to assist Los Angeles in study of helicopter borne 'skylounge' to carry up to 44 persons and baggage from downtown airline terminals to airport SKYLOUNGE STUDY PLANNED ON COAST U.S. to Assist Los Angeles on Airport-to-City Project"
1965,1960,"Badillo leads by 141 votes, 2 dists not reptg says both parties hindered Puerto Rican vote; plans corrective moves; claims role in other election victories; Elections Bd pres Power acts to effect reptg of results Badillo Holding 141-Vote Lead; Charges Curb on Puerto Ricans; BADILLO HOLDING 141-VOTE MARGIN"
1967,1960,"FEW dog fanciers ever have seen a field spaniel. Until  this year, when three were registered with the American Kennel Club, none had been recorded in 26 years and only seven since 1929.   Rare Spaniels Will Be Shown At Specialty Here on Saturday "
1968,1960,Met Life Ins Co sells complex to investors group headed by H B Helmsley for $90-million rent rises expected to follow; Helmsley says open-occupancy pledge would be honored by new owners; Met spokesman says sale is not related to race issue; transaction linked with rent-control status of complex; map; illus Parkchester Complex Sold for $90-Million; Parkchester Development Sold By Metropolitan for $90-Million
1960,1960,Vital Eyesight Aid 
1964,1960,"&#8220 &#8216;HAPPY?&#8217; His blue eyes were shining. I never knew the meaning of happiness, Bel, until now. Just imagine, after all these years of loving and wanting Jeannette and thinking she could never be mine ? And Reader's Report"
1962,1960,3-2 SPLIT IS VOTED BY GARDNER-DENVER 
1961,1960,Greece to recall Charge d'Affaires M Papadopoulos GREECE WILL RECALL ENVOY IN BULGARIA 
1962,1960,C L Sulzberger on Fanfani's new 'opening to the Left' experiment Foreign Affairs The Specter Behind the Jugglers Conflicting Aims
1969,1960,Article 12 -- No Title 
1960,1960,Deputy Dir Saccio sworn in as Dir for Brazil with rank of Min New I.C.A. Aide Sworn In 
1967,1960,The Proceedings In the U.N. 
1961,1960,Mary Decrouez Is Married 
1960,1960,"WASHINGTON, Sept. 28 -- Following are excerpts from a speech given today by Secretary of the Treasury Robert B. Anderson at the joint meeting of the World Bank, the International Monetary Fund and the International Finance Corporation: Excerpts From the Speech by Anderson "
1969,1960,No Aid to Mayor? 
